"id","title","label","latintoponym","pleiades","welchid","golvinid","buildingtype","visibility","chronogroup","secondcentury","capacity","modcountry","romanregion","zotero","amphitheatrum","dimensionsunknown","arenamajor","arenaminor","extmajor","extminor","exteriorheight","longitude","latitude","elevation"
"tebourbaAmphitheater","Amphitheater at Thuburbo Minus","Thuburbo Minus","Thuburbo Minus","https://pleiades.stoa.org/places/315219","","69","amphitheater","poor","second-century",True,,"Tunisia","proconsularis","","https://amphi-theatrum.de/1341.html",True,,,,,,9.835436,36.827708,43
"hencherElKasbatAmphitheater","Amphitheater at Henchir el Kasbat","Thuburbo Maius","Thuburbo Maius","https://pleiades.stoa.org/places/315220","","121","amphitheater","good","second-century",True,7500,"Tunisia","proconsularis","","https://amphi-theatrum.de/1340.html",False,46,33,74,61,,9.905668,36.398153,201
"espejoAmphitheater","Amphitheater at Espejo","Espejo","Ucubi","https://pleiades.stoa.org/places/266081","","11","amphitheater","poor","caesarean",True,,"Spain","baetica","","https://amphi-theatrum.de/1472.html",False,35,,,,,-4.554198,37.683989,352
"hencherZembraAmphitheater","Amphitheater at Henchir Zembra","Ulisippira","Ulisippira","https://pleiades.stoa.org/places/324839","","70","amphitheater","good","second-century",True,5400,"Tunisia","proconsularis","","https://amphi-theatrum.de/1346.html",False,48,32,69,53,,10.441193,35.958583,21
"botriaAmphitheater","Amphitheater at Botria","Acholla","Acholla","https://pleiades.stoa.org/places/324653","","118","amphitheater","good","second-century",True,11600,"Tunisia","proconsularis","","https://amphi-theatrum.de/1311.html",False,58,54,90,86,,11.018944,35.075962,2
"tipasaAmphitheater","Amphitheater at Tipasa","Tipasa","Tipasentium","https://pleiades.stoa.org/places/295363","","130","amphitheater","good","late-second-century",True,4398,"Algeria","mauretania","","https://amphi-theatrum.de/1536.html",False,57,35,77,55,,2.445456,36.593152,16
"bullaRegiaAmphitheater","Amphitheater at Bulla Regia","Bulla Regia","Bulla Regia","https://pleiades.stoa.org/places/314912","","117","amphitheater","poor","late-second-century",True,9700,"Tunisia","proconsularis","","https://amphi-theatrum.de/1314.html",False,34,30,74,66,,8.762598,36.564169,227
"pupputAmphitheater","Amphitheater at Pupput","Pupput","Pupput","https://pleiades.stoa.org/places/315121","","298","amphitheater","poor","imperial",True,,"Tunisia","proconsularis","","https://amphi-theatrum.de/1326.html",False,45,36,,,,10.5626,36.3929,4
"siccaVeneriaAmphitheater","Amphitheater at Sicca Veneria","Sicca Veneria","Sicca Veneria","https://pleiades.stoa.org/places/315152","","183","amphitheater","none","imperial",True,11300,"Tunisia","proconsularis","","https://amphi-theatrum.de/1329.html",False,70,50,100,80,,8.715302,36.18536115302,748
"thibariAmphitheater","Amphitheater at Thibari","Thibari","Thibari","https://pleiades.stoa.org/places/315201","","62","amphitheater","none","imperial",True,6300,"Tunisia","proconsularis","","https://amphi-theatrum.de/1337.html",False,30.8,21,61.2,51.5,,9.083712,36.504836,282
